City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kalmunai,7.4167,81.8167,301.33,70,98,6.07,LK,1733723080
84,montepuez,-13.1256,38.9997,300.73,59,41,1.83,MZ,1733723081
85,punta arenas,-53.15,-70.9167,282.21,61,0,5.66,CL,1733723082
86,zaozersk,69.4005,32.4476,272.6,80,85,8.35,RU,1733723083
87,badger,64.8,-147.5333,261.1,83,0,0.0,US,1733723084
88,hawaiian paradise park,19.5933,-154.9731,296.88,85,75,1.54,US,1733723085
89,general conesa,-40.1,-64.4333,291.82,43,27,8.98,AR,1733723086
90,dunedin,-45.8742,170.5036,289.89,42,6,5.35,NZ,1733723087
91,bhamo,24.2667,97.2333,300.83,39,24,0.48,MM,1733723088
92,inari,68.906,27.0288,270.33,82,75,4.0,FI,1733723089
93,uturoa,-16.7333,-151.4333,300.23,79,59,8.11,PF,1733723090
94,rundu,-17.9333,19.7667,298.07,47,70,1.23,NA,1733723092
95,itambe,-15.245,-40.6244,290.38,98,4,0.54,BR,1733723093
96,mildura,-34.2,142.15,301.52,39,90,3.95,AU,1733722987
97,fortuna,40.5982,-124.1573,279.46,100,0,3.09,US,1733723096
98,anadyr,64.75,177.4833,256.43,85,75,4.0,RU,1733723097
99,nemuro,43.3236,145.575,273.19,66,29,11.36,JP,1733723098
100,alice town,25.7167,-79.3,295.91,68,79,7.56,BS,1733723099
101,mount gambier,-37.8333,140.7667,291.99,50,0,3.88,AU,1733723100
102,oranjemund,-28.55,16.4333,290.86,78,6,4.48,NA,1733723101
103,new norfolk,-42.7826,147.0587,291.99,60,87,4.62,AU,1733723102
104,sisimiut,66.9395,-53.6735,265.44,75,64,3.75,GL,1733723103
105,remire-montjoly,4.9167,-52.2667,297.17,100,75,1.03,GF,1733723104
106,talnakh,69.4865,88.3972,261.22,96,100,3.9,RU,1733723105
107,ribeira grande,38.5167,-28.7,291.91,88,66,6.26,PT,1733723106
108,papatowai,-46.5619,169.4708,287.16,55,9,8.66,NZ,1733723107
109,puerto ayora,-0.7393,-90.3518,295.68,96,74,1.34,EC,1733723109
110,utrik,11.2278,169.8474,301.02,80,9,8.71,MH,1733723110
111,inarajan village,13.2736,144.7484,303.7,80,83,4.92,GU,1733723111
112,mukalla,14.5425,49.1242,299.89,31,76,2.78,YE,1733723112
113,yellowknife,62.456,-114.3525,258.44,85,75,2.06,CA,1733723113
114,purpe,64.4803,76.6897,260.35,89,100,8.56,RU,1733723114
115,rongelap,11.1635,166.8941,301.1,78,7,8.76,MH,1733723115
116,pisco,-13.7,-76.2167,292.18,82,0,5.14,PE,1733723116
117,vadso,70.0744,29.7487,274.24,80,75,11.32,NO,1733723117
118,georgetown,5.4112,100.3354,304.11,70,20,2.57,MY,1733723114
119,san luis de la loma,17.2706,-100.8939,297.54,78,40,1.52,MX,1733723119
120,hibbing,47.4272,-92.9377,272.88,98,100,3.09,US,1733723120
121,minot air force base,48.4209,-101.3391,274.25,86,100,10.29,US,1733723121
122,whitehorse,60.7161,-135.0538,262.58,85,20,3.6,CA,1733723122
