City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hithadhoo,-0.6,73.0833,300.87,71,0,7.77,MV,1733728229
84,south venice,27.0531,-82.4243,289.25,90,47,4.29,US,1733728230
85,richards bay,-28.783,32.0377,298.32,87,100,1.31,ZA,1733728231
86,zrenjanin,45.3836,20.3819,278.13,90,100,3.14,RS,1733728232
87,victorica,-36.2151,-65.4359,287.09,89,100,9.27,AR,1733728234
88,aginskoye,51.1,114.53,265.47,79,17,6.81,RU,1733728235
89,yellowknife,62.456,-114.3525,258.44,85,100,1.54,CA,1733728210
90,tolanaro,-25.0319,46.9987,298.19,67,92,5.0,MG,1733728237
91,el bauga,18.262,33.9081,299.7,47,100,7.07,SD,1733727971
92,saipan,15.1355,145.701,302.54,77,40,3.6,MP,1733728239
93,wick,58.4333,-3.0833,277.18,81,100,0.51,GB,1733728240
94,lihue,21.9789,-159.3672,295.92,88,20,2.57,US,1733728241
95,nookat,40.2671,72.6207,268.6,60,6,2.71,KG,1733728242
96,aykhal,66.0,111.5,240.4,100,100,2.62,RU,1733728243
97,rouached,36.4577,6.0427,278.04,84,59,3.01,DZ,1733728244
98,alamos,27.0167,-108.9333,287.3,22,0,1.85,MX,1733728247
99,wolmaransstad,-27.1974,25.9831,302.34,35,88,6.37,ZA,1733728249
100,yanbu,24.0891,38.0637,298.17,65,0,1.03,SA,1733728250
101,suntar,62.1444,117.6319,250.28,95,100,2.52,RU,1733728251
102,bel ombre,-4.6167,55.4167,300.04,77,100,6.63,SC,1733728252
103,sao vicente,-23.9631,-46.3919,295.36,26,100,0.31,BR,1733728253
104,chemolgan,43.1897,76.5292,265.85,82,16,2.85,KZ,1733728084
105,vila velha,-20.3297,-40.2925,299.12,87,75,3.6,BR,1733728140
106,moroni,-11.7022,43.2551,301.46,73,6,2.51,KM,1733728256
107,yangambi,0.8102,24.4336,300.93,55,7,1.48,CD,1733728257
108,thunder bay,48.4001,-89.3168,271.28,96,100,7.07,CA,1733728176
109,castillos,-34.1667,-53.8333,281.1,85,0,1.28,UY,1733728259
110,santana,-0.0583,-51.1817,297.25,100,40,2.57,BR,1733728260
111,brisas de zicatela,15.8369,-97.0419,297.35,69,12,2.03,MX,1733728261
112,talnakh,69.4865,88.3972,261.03,96,100,4.31,RU,1733728262
113,enewetak,11.3474,162.3373,301.1,81,100,7.47,MH,1733728263
114,nkwerre,5.7556,7.1063,297.02,45,100,1.2,NG,1733728264
115,parauapebas,-6.0675,-49.9022,295.5,85,55,1.01,BR,1733728265
116,mersa matruh,31.3525,27.2453,289.48,52,100,3.99,EG,1733728267
117,lagos,6.5833,3.75,297.25,43,94,1.63,NG,1733728268
118,port douglas,-16.4833,145.4667,301.12,70,21,3.01,AU,1733728269
119,santa branca,-23.3967,-45.8839,294.31,97,100,1.17,BR,1733728270
120,acapulco de juarez,16.8634,-99.8901,297.05,83,0,0.0,MX,1733728170
121,gaigeturi,33.4644,126.3183,283.96,59,48,6.45,KR,1733728272
122,puerto aysen,-45.4,-72.7,278.7,100,93,1.36,CL,1733728273
123,juan griego,11.0817,-63.9655,297.78,89,59,3.76,VE,1733728274
124,filey,54.21,-0.2892,280.9,71,100,2.24,GB,1733728275
125,mahina,-17.5065,-149.489,301.02,61,0,1.54,PF,1733728277
126,lebu,-37.6167,-73.65,284.14,81,72,7.13,CL,1733728278
127,wailua homesteads,22.0669,-159.378,295.59,88,20,2.57,US,1733728279
128,nouadhibou,20.931,-17.0347,293.14,30,100,3.09,MR,1733728282
129,semporna,4.4818,118.6112,301.15,82,42,1.75,MY,1733728283
130,markovo,57.3206,107.0881,258.58,88,100,4.17,RU,1733728284
131,sabang,5.8933,95.3214,301.6,72,100,3.27,ID,1733728285
132,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.03,GF,1733728286
133,ceeldheer,3.8488,47.1806,303.45,50,7,9.22,SO,1733728287
134,luderitz,-26.6481,15.1594,298.06,45,48,6.87,NA,1733728288
135,tarinkot,32.6268,65.8733,280.48,14,0,0.93,AF,1733728289
136,east london,-33.0153,27.9116,295.67,94,100,1.03,ZA,1733728214
137,eyl,7.9803,49.8164,301.89,48,12,10.8,SO,1733728185
138,beloyarskiy,63.7119,66.6722,265.29,92,100,3.97,RU,1733728293
139,salahonda,2.1019,-78.7217,298.4,86,100,6.07,CO,1733728294
140,udachny,66.4167,112.4,238.75,100,98,2.04,RU,1733728296
141,dauphin,51.1494,-100.0502,263.23,85,100,4.63,CA,1733728297
142,college,64.8569,-147.8028,269.51,87,100,2.06,US,1733728298
143,keflavik,64.0049,-22.5624,278.39,100,100,3.09,IS,1733728299
144,spinazzola,40.9671,16.0916,279.99,84,95,3.26,IT,1733728300
145,peace river,56.2501,-117.286,264.58,97,82,1.69,CA,1733728215
146,harstad,68.799,16.5293,276.01,81,100,8.05,NO,1733728303
147,mugumu,-1.85,34.7,296.13,53,68,2.76,TZ,1733728304
148,imbituba,-28.24,-48.6703,289.7,93,100,2.18,BR,1733728307
149,afaahiti,-17.75,-149.2833,298.35,83,59,9.46,PF,1733728308
150,port alfred,-33.5906,26.891,296.03,82,73,2.68,ZA,1733728309
151,weno,7.4515,151.8468,302.12,79,75,3.09,FM,1733728310
152,la passe,45.5549,-0.8967,280.49,79,100,8.39,FR,1733728312
153,st. thomas,42.7736,-81.1804,276.2,91,100,5.37,CA,1733728313
154,flying fish cove,-10.4217,105.6791,300.97,89,100,2.57,CX,1733728314
155,taksimo,56.3444,114.8794,258.42,95,98,0.8,RU,1733728315
156,saldanha,-33.0117,17.9442,292.23,72,84,4.6,ZA,1733728316
157,hawaiian paradise park,19.5933,-154.9731,294.88,94,40,1.54,US,1733728317
158,carutapera,-1.195,-46.02,298.72,86,100,3.29,BR,1733728318
159,cidreira,-30.1811,-50.2056,291.74,71,100,4.75,BR,1733728319
160,nogliki,51.8333,143.1667,262.79,81,100,9.44,RU,1733728320
161,kasempa,-13.4584,25.8338,294.7,84,94,2.1,ZM,1733728321
162,touros,-5.1989,-35.4608,298.8,75,0,6.21,BR,1733728252
163,pico truncado,-46.7949,-67.9573,281.56,68,100,7.05,AR,1733728323
164,jamestown,42.097,-79.2353,275.95,98,0,3.09,US,1733728324
165,tynda,55.1667,124.7167,257.71,98,100,0.23,RU,1733728325
166,mount gambier,-37.8333,140.7667,290.73,54,1,4.22,AU,1733728326
167,saint-felicien,48.6501,-72.4491,261.53,79,75,4.63,CA,1733728327
168,vientiane,17.9667,102.6,303.66,74,40,1.03,LA,1733728329
169,dawson creek,55.7666,-120.2362,265.95,93,0,0.0,CA,1733728330
170,dudinka,69.4058,86.1778,260.52,95,100,5.82,RU,1733728331
171,rio grande,-32.035,-52.0986,287.96,61,1,3.11,BR,1733728332
172,gobabis,-22.45,18.9667,302.7,25,92,1.01,NA,1733728333
173,peachtree city,33.3968,-84.5958,283.26,85,100,0.0,US,1733728100
174,mandera,3.9366,41.867,304.87,28,30,6.4,KE,1733728335
175,linqiong,30.4159,103.4609,280.34,82,100,3.04,CN,1733728336
176,bredasdorp,-34.5322,20.0403,295.76,52,59,1.87,ZA,1733728337
177,sitka,57.0531,-135.33,277.09,87,100,0.0,US,1733728338
178,avarua,-21.2078,-159.775,298.18,88,20,6.69,CK,1733728339
179,rio gallegos,-51.6226,-69.2181,281.06,59,92,3.65,AR,1733728340
180,malkinia gorna,52.6922,22.0284,273.86,91,98,5.23,PL,1733728341
181,lospalos,-8.5186,127.0025,298.85,84,100,2.19,TL,1733728343
182,dolores,-36.3132,-57.6792,280.76,86,5,3.02,AR,1733728277
183,zaozersk,69.4005,32.4476,271.65,83,100,8.3,RU,1733728345
184,filadelfia,39.9523,-75.1638,280.79,72,40,1.54,US,1733728346
185,summerside,46.3959,-63.7876,271.22,100,100,7.2,CA,1733728347
186,mirnyy,62.5353,113.9611,241.87,100,74,1.8,RU,1733728348
187,redencao,-4.2258,-38.7306,296.92,89,100,1.14,BR,1733728349
188,kodiak,57.79,-152.4072,278.88,100,100,8.75,US,1733728094
189,el kef,36.1742,8.7049,278.11,75,2,4.54,TN,1733728351
190,toliara,-23.35,43.6667,305.22,50,0,3.77,MG,1733728352
191,kalmunai,7.4167,81.8167,301.05,71,100,5.61,LK,1733728353
192,mount isa,-20.7333,139.5,311.02,32,98,3.6,AU,1733728354
193,montepuez,-13.1256,38.9997,302.98,50,29,2.15,MZ,1733728092
194,timbuktu,16.7735,-3.0074,289.82,15,95,3.67,ML,1733728356
195,bridgewater,44.3835,-64.5155,274.97,88,75,5.14,CA,1733728357
196,igrim,63.1906,64.4162,265.3,90,98,4.47,RU,1733728358
197,pitimbu,-7.4706,-34.8086,299.2,73,100,5.16,BR,1733728359
198,sao joao da barra,-21.6403,-41.0511,296.19,97,81,4.07,BR,1733728360
199,novodvinsk,64.4165,40.8122,271.01,95,100,2.77,RU,1733728363
200,altamont,42.2068,-121.7372,271.47,81,0,1.54,US,1733728364
201,saarijarvi,62.7049,25.254,267.85,99,94,1.5,FI,1733728365
202,mirny,62.5353,113.9611,241.87,100,74,1.8,RU,1733728366
203,praia da vitoria,38.7333,-27.0667,291.29,68,75,6.08,PT,1733728367
204,hobyo,5.3505,48.5268,301.5,64,75,11.02,SO,1733728368
205,guerrero negro,27.9769,-114.0611,288.2,82,0,3.12,MX,1733728315
206,sparta,43.9441,-90.8129,280.23,87,0,0.0,US,1733728370
207,tromso,69.6496,18.957,276.16,75,75,14.4,NO,1733728241
208,pisco,-13.7,-76.2167,291.18,88,0,4.63,PE,1733728372
209,port augusta,-32.5,137.7667,299.8,34,100,3.74,AU,1733728373
210,lazaro cardenas,17.9583,-102.2,296.21,91,16,1.85,MX,1733728374
211,puerto deseado,-47.7503,-65.8938,283.25,52,100,3.91,AR,1733728376
212,bocas del toro,9.3333,-82.25,298.27,81,0,2.35,PA,1733728377
213,vilyuchinsk,52.9306,158.4028,273.3,89,100,2.98,RU,1733728378
214,smithers,54.7804,-127.1743,272.33,100,100,1.03,CA,1733728379
215,valvedditturai,9.8167,80.1667,301.92,67,52,4.59,LK,1733728380
216,borogontsy,62.6683,131.1683,240.13,100,96,1.66,RU,1733728381
217,rantauprapat,2.1,99.8333,302.66,64,100,2.29,ID,1733728382
218,tadjourah,12.0,42.5,300.8,24,3,0.55,DJ,1733728383
219,ilulissat,69.2167,-51.1,270.16,46,83,2.57,GL,1733728384
220,shimanovsk,52.0,127.7,259.95,93,100,1.57,RU,1733728385
221,amilly,47.9728,2.7719,278.18,85,100,6.3,FR,1733728386
222,guilin,25.2819,110.2864,286.0,54,100,1.49,CN,1733728242
223,al ghayzah,16.2079,52.176,299.75,38,100,1.15,YE,1733728388
224,shortandy,51.7006,70.9994,254.07,96,67,0.62,KZ,1733728389
225,los villares,37.3482,-3.3314,271.82,67,1,1.79,ES,1733728390
226,galesong,-5.3166,119.3661,299.74,85,99,6.23,ID,1733728391
227,yeniseysk,58.4497,92.1703,258.15,92,100,3.23,RU,1733728392
228,birao,10.2849,22.7882,300.55,22,100,5.99,CF,1733728393
229,forster,-32.1667,152.5167,295.58,94,100,4.62,AU,1733728134
230,georgetown,5.4112,100.3354,303.11,66,20,2.06,MY,1733728244
231,kalevala,65.2,31.1667,270.36,85,8,4.62,RU,1733728397
232,nagercoil,8.1667,77.4333,305.56,66,41,0.9,IN,1733728398
233,lompoc,34.6391,-120.4579,280.55,100,0,3.6,US,1733728399
234,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,64,75,2.0,RU,1733728400
235,klaksvik,62.2266,-6.589,280.89,78,99,8.7,FO,1733728401
236,nabire,-3.3667,135.4833,301.36,79,100,2.09,ID,1733728402
237,palikir - national government center,6.9248,158.1611,300.56,89,100,1.54,FM,1733728403
238,katsuura,35.1333,140.3,283.22,47,0,1.44,JP,1733728404
239,spas-demensk,54.4122,34.0226,271.48,95,100,0.34,RU,1733728405
240,vysokiy,58.35,60.05,265.82,71,100,4.64,RU,1733728406
241,fort bragg,35.139,-79.006,283.6,59,20,3.09,US,1733728407
242,twon-brass,4.3151,6.2418,301.06,71,100,1.49,NG,1733728408
243,dzhalagash,45.0833,64.6667,268.84,53,0,2.51,KZ,1733728409
244,hermanus,-34.4187,19.2345,298.6,60,6,0.32,ZA,1733728410
245,dahlonega,34.5326,-83.9849,281.57,93,100,1.82,US,1733728275
246,malabar,-33.9667,151.25,296.4,74,75,7.2,AU,1733728412
247,queenstown,-31.8976,26.8753,296.88,53,15,1.17,ZA,1733728413
248,tura,25.5198,90.2201,296.25,52,100,2.34,IN,1733728416
249,porto novo,6.4965,2.6036,297.05,60,80,1.71,BJ,1733728417
250,iskateley,67.6803,53.1512,267.74,95,100,6.78,RU,1733728418
251,barclayville,4.6797,-8.2339,298.32,85,100,1.23,LR,1733728419
252,al kharijah,25.4514,30.5464,291.57,30,4,4.28,EG,1733728420
253,nago,26.5881,127.9761,290.48,62,100,4.07,JP,1733728422
254,boende,-0.2167,20.8667,301.84,55,0,1.33,CD,1733728423
255,al bayda',32.7627,21.7551,285.78,54,100,9.69,LY,1733728424
256,shenjiamen,29.9576,122.298,284.71,61,54,3.66,CN,1733728425
257,belmonte,-15.8631,-38.8828,296.77,89,79,2.62,BR,1733728426
258,caleta de carquin,-11.0925,-77.6267,292.38,88,83,3.41,PE,1733728427
259,alofi,-19.0595,-169.9187,299.09,94,59,5.14,NU,1733728428
260,andergrove,-21.0833,149.1833,300.35,68,6,4.04,AU,1733728430
261,naze,28.3667,129.4833,288.21,59,100,6.59,JP,1733728381
262,port hueneme,34.1478,-119.1951,285.35,94,100,2.06,US,1733728432
263,general mosconi,-23.1851,-62.303,290.1,93,100,2.37,AR,1733728433
264,bilozerka,46.6248,32.4425,279.45,88,100,6.68,UA,1733728434
265,viana do castelo,41.6932,-8.8329,282.32,76,0,7.41,PT,1733728435
